  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
21841 ?        00:00:00 717050.search6.
21849 ?        00:00:00 make
21850 ?        00:00:00 sh
21851 ?        00:00:00 make
21875 ?        00:00:00 gfortran
21876 ?        00:00:00 f951
21877 ?        00:00:00 717050.search6.
21881 ?        00:00:00 ps
21882 ?        00:00:00 717050.search6.
21883 ?        00:00:00 lsof
21884 ?        00:00:00 top
21885 ?        00:00:00 grep
