  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
39485 ?        00:00:00 717050.search6.
39493 ?        00:00:00 make
39494 ?        00:00:00 sh
39495 ?        00:00:00 make
39522 ?        00:00:00 mpif77
39523 ?        00:00:00 gfortran
39524 ?        00:00:00 f951
39525 ?        00:00:00 717050.search6.
39529 ?        00:00:00 ps
39530 ?        00:00:00 717050.search6.
39531 ?        00:00:00 lsof
39532 ?        00:00:00 top
39533 ?        00:00:00 grep
39534 ?        00:00:00 lsof
