  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
40112 ?        00:00:00 717050.search6.
40115 ?        00:00:00 make
40116 ?        00:00:00 sh
40117 ?        00:00:00 make
40120 ?        00:00:01 setparams
40121 ?        00:00:00 717050.search6.
40125 ?        00:00:00 ps
40126 ?        00:00:00 717050.search6.
40127 ?        00:00:00 lsof
40128 ?        00:00:00 top
40129 ?        00:00:00 grep
