  PID TTY          TIME CMD
17536 ?        00:00:00 717050.search6.
17537 ?        00:00:18 sp-mz.C.x
17994 ?        00:00:00 717050.search6.
17998 ?        00:00:00 ps
17999 ?        00:00:00 717050.search6.
18000 ?        00:00:00 lsof
18001 ?        00:00:00 top
18002 ?        00:00:00 grep
18003 ?        00:00:00 lsof
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
