  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
39319 ?        00:00:00 717050.search6.
39322 ?        00:00:00 make
39323 ?        00:00:00 sh
39324 ?        00:00:00 make
39337 ?        00:00:00 gfortran
39338 ?        00:00:00 f951
39339 ?        00:00:00 717050.search6.
39343 ?        00:00:00 ps
39344 ?        00:00:00 717050.search6.
39345 ?        00:00:00 lsof
39346 ?        00:00:00 top
39347 ?        00:00:00 grep
