  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
39904 ?        00:00:00 717050.search6.
39907 ?        00:00:00 make
39908 ?        00:00:00 sh
39909 ?        00:00:00 make
39925 ?        00:00:00 mpif77
39926 ?        00:00:00 gfortran
39927 ?        00:00:00 f951
39928 ?        00:00:00 717050.search6.
39932 ?        00:00:00 ps
39933 ?        00:00:00 717050.search6.
39934 ?        00:00:00 lsof
39935 ?        00:00:00 top
39936 ?        00:00:00 grep
